Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_km,Parking,Floor,Price_lakhs
2475,5,5,7,7.0,3,10,150.32
668,1,1,11,16.0,1,8,15.0
2700,5,5,21,18.4,1,10,119.3
2073,4,4,21,7.8,2,3,96.16
804,2,1,17,6.8,2,1,30.31
2773,6,5,14,4.7,1,1,161.28
642,1,1,16,13.9,2,4,15.0
2506,5,5,28,7.1,0,9,123.48
2758,6,5,13,19.8,2,8,134.52
1360,3,2,13,7.2,0,2,62.08
2742,5,5,17,8.5,1,7,153.02
2594,4,4,19,12.5,2,3,134.4
2535,4,4,17,16.2,1,5,116.89
1499,3,2,15,9.9,1,9,74.74
959,2,2,0,9.0,1,5,50.39
2319,4,4,22,19.9,3,2,96.05
880,2,2,26,1.2,2,4,46.58
2487,6,5,10,18.0,2,2,125.43
1266,2,1,14,3.8,1,10,66.1
692,1,1,11,15.9,2,10,23.84
1271,2,2,7,12.7,1,0,47.0
2569,6,5,21,7.5,1,6,139.31
660,2,2,19,17.6,2,3,15.0
1628,3,2,29,1.2,1,6,81.25
2089,5,4,5,5.3,0,2,133.07
1203,3,3,2,11.8,0,10,66.02
1281,2,1,27,7.7,0,4,43.54
2028,4,3,23,12.6,2,4,96.87
2880,5,5,25,1.5,1,1,156.73
1123,2,2,29,3.2,2,10,53.95
2993,6,5,12,3.4,1,9,164.97
2568,5,4,12,4.6,1,1,139.36
1701,4,3,1,9.7,1,3,95.57
2353,5,4,4,15.3,2,3,121.76
2436,6,5,16,18.2,1,3,117.32
2896,5,5,5,16.9,2,5,151.33
2694,6,5,1,4.7,1,1,161.75
1744,2,1,3,9.4,1,5,84.9
2861,5,5,21,4.8,1,6,151.14
2886,6,5,25,6.0,2,10,163.18
1679,4,3,10,10.6,2,9,93.74
2997,6,5,7,2.3,0,2,174.07
706,1,1,11,5.1,1,10,34.06
647,1,1,7,18.8,1,7,15.0
936,3,3,10,9.9,2,1,39.23
1649,3,2,21,9.5,1,10,75.44
1880,5,5,19,1.3,2,7,122.75
2655,6,5,7,5.7,3,10,162.12
1224,3,3,28,17.5,1,4,34.81
2490,4,3,7,4.1,2,1,120.07
1876,4,4,25,8.9,0,6,80.06
2315,4,3,29,1.3,0,1,100.59
902,1,1,16,10.1,0,5,26.75
1238,3,2,19,1.4,0,9,70.71
655,1,1,19,16.6,2,2,15.0
1325,2,2,22,16.7,0,8,39.28
1125,2,2,15,16.0,1,2,32.75
1073,3,3,13,6.4,0,10,67.08
627,1,1,29,16.9,1,2,15.0
2725,5,5,10,11.3,0,4,137.97
964,2,2,6,8.1,1,6,59.39
1125,2,2,15,12.9,0,7,54.37
1935,4,4,12,1.2,2,10,116.2
1482,4,4,26,3.7,2,6,86.68
1630,3,3,14,15.1,0,8,90.14
1626,4,3,23,5.6,2,4,85.85
2246,5,5,15,12.4,0,9,119.46
1518,3,3,26,8.3,1,10,72.23
2374,5,5,20,17.2,0,2,107.87
2131,4,3,22,19.1,1,5,90.17
2506,5,4,23,17.8,1,4,102.5
1815,4,3,30,6.1,2,3,84.97
2254,5,4,8,4.7,1,1,113.06
1084,2,2,2,10.0,2,6,59.12
2675,4,3,18,1.1,1,4,133.71
1313,3,2,19,1.5,2,3,72.77
1662,3,3,4,11.5,1,7,78.3
2576,5,4,9,10.9,0,8,133.4
1896,4,4,16,19.9,1,8,91.07
1854,4,3,14,4.8,1,2,93.37
2733,5,5,30,5.9,1,2,121.61
725,2,2,22,3.2,2,4,37.57
1136,3,2,24,18.4,0,4,25.1
2792,6,5,7,15.8,2,9,154.02
2672,5,5,14,16.6,1,1,121.46
2203,4,4,30,18.2,2,0,95.68
666,1,1,20,11.0,1,7,15.0
832,1,1,29,9.6,1,2,29.74
2756,5,5,13,7.3,2,0,143.83
1769,2,1,19,12.2,1,0,62.21
2758,5,4,27,9.6,1,10,134.16
2875,5,5,6,9.6,0,1,145.18
710,2,1,20,18.8,1,5,15.0
2093,4,3,22,19.7,1,5,86.64
2681,5,4,11,16.1,2,2,122.13
1222,2,2,16,15.4,0,3,39.87
2141,4,4,16,13.9,1,1,83.79
1905,3,3,9,4.2,1,1,100.57
2361,5,5,29,2.1,1,6,132.69
2575,5,5,28,14.1,1,0,105.18
2962,5,5,18,14.8,2,6,151.46
1476,3,3,13,1.9,1,0,78.98
2589,6,5,10,18.6,2,5,144.2
1912,4,4,1,2.7,1,2,111.46
2060,4,3,17,6.4,1,7,124.8
2924,6,5,6,13.8,1,5,142.74
2333,4,4,11,4.2,0,10,129.91
2205,4,3,25,2.1,1,1,97.08
2126,5,5,1,7.3,0,7,140.93
2997,6,5,26,15.6,2,4,141.89
2230,6,5,19,8.9,0,7,121.17
1760,4,4,17,13.4,2,7,92.56
1358,3,2,5,12.0,0,5,64.58
842,1,1,23,1.4,2,1,28.53
1663,3,3,9,19.8,2,7,67.3
828,1,1,19,1.8,0,10,39.87
1519,2,2,14,19.4,2,5,57.33
1846,4,3,4,11.4,1,5,102.94
605,1,1,19,19.3,2,7,16.45
1067,2,2,2,3.2,1,0,46.57
2355,5,5,4,10.3,1,1,128.62
674,2,2,29,4.2,2,8,38.58
603,1,1,24,2.0,1,10,26.69
2470,5,5,7,12.7,0,7,118.37
1245,3,2,7,4.9,2,6,68.03
717,1,1,7,12.2,1,6,28.04
2229,5,5,11,3.1,1,4,133.91
2621,4,4,23,7.3,0,1,123.83
1546,2,2,22,15.9,1,10,53.43
2064,4,3,7,9.3,3,5,116.89
793,1,1,10,12.9,1,9,23.96
1446,3,3,13,13.3,1,2,64.18
2015,4,4,7,17.0,1,3,96.49
2058,4,3,28,7.2,2,9,98.28
2820,5,5,29,14.1,1,10,144.4
2268,5,5,23,19.3,1,1,86.18
2973,6,5,27,14.9,2,1,138.19
2033,4,4,9,10.3,1,7,105.18
1741,4,3,6,13.0,0,7,100.45
2410,4,3,27,15.1,0,9,105.59
1323,2,2,16,12.6,1,5,47.94
824,2,2,3,1.3,1,4,53.85
1131,2,2,28,4.7,1,7,59.01
712,1,1,12,16.4,2,3,15.0
2787,6,5,3,6.2,0,10,157.13
1158,3,3,4,14.9,2,3,60.41
2648,5,5,25,8.1,1,4,134.19
2737,6,5,21,10.9,2,0,142.01
1253,3,3,3,2.3,2,0,83.07
919,2,2,30,4.4,0,1,37.58
2173,4,4,17,19.2,1,7,86.48
2428,5,5,5,17.9,0,6,115.89
2517,6,5,30,13.4,2,9,131.94
738,2,2,23,9.7,2,8,24.23
2626,6,5,30,13.8,1,4,114.53
2906,6,5,23,12.8,1,1,150.57
1501,3,3,22,11.8,1,6,55.23
1289,2,2,21,2.1,2,7,65.35
2639,5,5,1,13.0,1,6,145.8
609,2,2,30,15.6,1,6,15.0
860,2,1,22,19.9,1,4,15.0
2542,5,5,10,1.2,0,1,145.78
2273,5,5,27,14.9,2,5,102.49
2819,6,5,13,11.9,0,3,147.97
2660,5,4,29,9.2,1,9,125.56
1791,4,3,4,3.4,1,1,112.93
2219,5,5,5,8.8,1,8,127.35
920,3,2,9,7.7,1,6,37.58
1942,4,4,7,6.8,3,5,111.86
2236,5,5,13,14.9,2,4,114.6
2976,6,5,23,14.3,1,2,147.96
2594,6,5,2,12.2,1,9,145.08
2543,6,5,11,18.8,2,9,128.8
2638,6,5,15,7.6,1,3,149.67
1718,3,3,27,5.6,0,2,63.96
2204,5,4,29,13.5,2,10,107.16
2965,5,5,22,4.8,2,7,159.57
835,2,2,16,7.0,3,2,41.98
2569,6,5,0,5.3,2,6,158.36
933,1,1,22,2.3,2,6,36.07
2508,5,5,30,16.7,0,6,110.52
975,2,1,30,5.8,0,6,25.0
1760,4,4,9,10.0,1,1,83.04
2170,4,4,24,1.8,1,9,126.92
1919,4,3,22,14.3,1,2,82.63
2455,4,3,9,7.3,1,9,143.73
1972,4,4,20,15.1,1,8,97.39
1472,3,3,23,8.8,1,2,54.93
1852,5,5,1,4.7,0,1,114.77
2917,6,5,8,10.8,1,8,157.17
2451,5,5,21,3.5,1,9,129.64
1914,4,4,12,9.4,2,8,105.35
1324,3,2,24,7.0,1,3,61.87
2652,5,5,15,18.3,1,8,131.64
677,3,2,17,2.2,2,2,33.12
731,1,1,18,14.2,1,6,15.0
1200,2,1,11,4.5,0,6,56.79
2372,5,5,7,7.1,1,10,132.86
1665,4,3,16,8.9,1,7,91.45
2736,5,5,14,18.3,2,9,137.4
2943,6,5,9,5.6,0,3,154.09
2463,5,5,14,2.7,1,2,129.8
1918,4,3,14,7.1,0,2,100.46
1215,2,2,30,3.0,1,4,46.69
2488,4,4,22,3.4,1,10,141.4
1646,3,3,6,11.9,1,0,86.35
1174,3,3,12,2.2,1,9,82.36
2790,5,5,16,1.6,1,2,150.05
1592,3,3,8,14.6,1,5,59.85
2792,5,4,7,7.9,1,2,149.97
1848,4,3,19,3.4,1,4,110.21
1102,3,2,25,5.8,2,8,55.78
2597,5,5,26,13.2,1,1,106.03
1420,3,2,20,6.2,1,10,69.05
2751,5,4,17,10.4,0,1,129.19
2570,6,5,12,3.3,1,5,145.51
797,2,2,15,12.2,2,5,17.18
2269,4,4,8,7.0,1,10,129.62
1802,4,3,30,12.9,2,10,78.03
2071,3,3,11,16.4,1,7,104.33
2246,5,5,11,12.6,2,10,129.48
2292,5,5,5,6.6,0,1,130.76
1912,5,4,18,5.9,2,8,112.18
2635,6,5,27,7.2,1,1,132.94
1077,2,1,6,4.1,1,0,42.6
1854,3,3,24,4.4,1,9,87.69
1522,2,2,2,16.0,1,1,68.62
1019,1,1,15,8.3,3,6,46.36
2804,6,5,17,9.3,1,7,149.64
1720,3,3,15,12.3,0,4,77.17
1550,4,4,22,12.2,1,5,75.89
2936,6,5,6,2.3,1,0,180.82
1877,4,4,3,16.8,1,5,96.84
2843,6,5,26,4.4,1,7,147.56
2457,5,5,24,14.7,1,2,111.52
1116,2,1,29,15.7,2,10,37.12
2258,5,5,7,14.6,1,0,120.58
2465,5,5,12,12.0,0,10,123.13
1741,3,3,12,1.3,2,3,100.42
2532,5,5,16,7.8,1,0,124.56
1414,3,3,16,12.5,1,7,62.58
2875,5,4,4,8.4,1,4,160.95
2500,5,5,5,17.4,1,0,127.38
2863,6,5,18,6.9,1,7,153.42
2662,6,5,12,6.6,2,8,156.94
2694,5,4,24,6.1,0,9,134.96
2971,6,5,27,7.3,1,1,164.7
729,1,1,25,11.6,2,8,20.18
694,2,2,13,14.4,3,7,26.59
2555,6,5,30,13.6,1,6,130.71
1393,2,1,21,16.3,1,2,46.98
2434,4,4,3,17.8,1,1,125.38
2716,5,4,27,16.5,2,6,136.1
2283,5,5,6,1.4,2,4,148.38
610,2,1,7,15.0,1,5,18.25
2465,4,3,24,5.0,1,3,116.61
1311,2,2,12,3.5,1,1,61.59
2670,5,5,26,13.1,2,8,130.38
1414,3,2,5,7.1,1,2,81.32
945,2,2,30,2.1,1,6,40.58
2949,6,5,5,3.6,3,7,188.53
962,2,1,23,1.0,0,1,40.65
2865,6,5,27,18.2,1,5,124.43
2788,6,5,20,1.5,1,10,153.91
1584,3,3,29,5.0,1,7,67.06
2239,5,5,2,8.9,0,6,127.94
1427,2,2,27,7.8,0,10,58.72
955,1,1,2,18.3,1,2,22.94
1947,4,4,12,1.8,2,0,115.53
2463,6,5,21,10.7,1,5,125.82
726,2,1,1,13.9,1,7,35.96
1203,2,2,15,18.7,1,5,38.79
2528,5,5,21,12.8,2,4,136.47
1613,3,2,28,16.3,2,10,57.38
650,1,1,5,2.6,1,7,53.5
2030,3,3,7,8.3,1,1,96.43
2392,6,5,22,8.1,0,0,111.85
2236,5,4,7,17.8,0,0,101.52
2245,6,5,29,3.9,1,3,140.02
1805,4,4,24,3.9,2,5,103.55
2454,5,4,5,7.2,2,8,149.35
1166,2,2,13,2.0,1,0,61.84
1535,3,3,2,4.5,2,0,84.61
2534,5,5,9,19.3,2,4,128.14
1932,3,3,2,9.1,1,9,108.01
801,2,1,26,13.0,1,4,26.4
2960,6,5,11,14.8,2,4,154.35
716,1,1,16,8.0,1,9,26.45
1536,4,4,26,3.8,2,5,77.63
1174,2,1,30,4.9,3,7,51.72
2891,6,5,28,7.0,1,2,146.35
1136,2,2,30,13.1,2,8,30.86
2225,3,3,4,8.6,2,0,115.24
2722,5,5,29,1.1,1,3,143.14
985,2,2,19,10.9,1,8,46.46
1074,3,3,24,18.5,0,7,39.55
1017,2,2,30,16.4,1,9,26.53
2994,6,5,8,16.7,1,8,151.66
1538,3,3,30,16.1,0,0,38.58
1554,3,2,29,7.2,0,8,75.6
1475,4,4,20,15.5,0,2,60.52
1362,3,2,25,3.7,2,10,83.72
1802,5,5,19,13.5,3,9,105.93
1805,5,5,6,13.2,3,8,117.25
1263,2,2,30,1.5,1,0,54.22
624,1,1,21,16.0,2,0,15.0
2590,5,5,3,18.2,2,8,141.79
1803,3,2,12,6.1,1,10,89.46
1309,2,2,12,16.4,1,5,47.0
2479,6,5,30,2.6,0,3,133.1
1784,2,2,9,12.4,2,6,76.53
2824,5,4,17,10.2,1,4,143.84
884,2,2,16,11.4,1,9,29.69
662,1,1,19,18.6,1,6,15.0
1602,3,3,19,17.6,1,7,60.4
1261,2,1,12,15.9,1,7,40.53
2803,5,5,16,6.2,1,0,135.92
2092,4,3,21,18.3,0,7,81.81
1566,3,3,3,2.9,2,5,86.77
1448,3,2,0,17.2,1,3,62.17
1707,4,4,0,7.2,1,7,114.01
1288,2,1,14,2.0,1,2,60.03
747,1,1,12,13.7,1,3,15.0
941,2,1,16,5.4,1,5,43.8
1686,3,3,23,5.6,1,10,87.4
2324,5,5,25,6.8,2,6,136.82
1983,3,2,7,2.2,2,3,114.18
926,3,3,17,4.4,2,3,55.4
2392,6,5,26,1.1,1,6,142.82
2359,5,4,12,9.5,1,5,125.0
1589,3,2,22,2.6,2,10,87.05
2862,6,5,13,14.0,1,7,160.74
1551,3,2,7,5.5,0,0,65.63
1322,3,2,7,18.9,1,9,64.65
